episode,reward,steps
1,-100,100
2,6,95
3,60,41
4,-100,100
5,40,61
6,55,46
7,-100,100
8,67,34
9,38,63
10,74,27
11,74,27
12,13,88
13,87,14
14,20,81
15,79,22
16,55,46
17,75,26
18,61,40
19,54,47
20,80,21
21,31,70
22,84,17
23,79,22
24,86,15
25,67,34
26,85,16
27,86,15
28,39,62
29,74,27
30,82,19
31,86,15
32,80,21
33,89,12
34,82,19
35,78,23
36,84,17
37,83,18
38,85,16
39,88,13
40,80,21
41,82,19
42,82,19
43,80,21
44,77,24
45,91,10
46,90,11
47,88,13
48,81,20
49,87,14
50,89,12
51,75,26
52,81,20
53,90,11
54,87,14
55,91,10
56,87,14
57,88,13
58,89,12
59,88,13
60,86,15
61,91,10
62,85,16
63,90,11
64,90,11
65,83,18
66,89,12
67,82,19
68,86,15
69,89,12
70,81,20
71,86,15
72,88,13
73,90,11
74,85,16
75,83,18
76,91,10
77,89,12
78,89,12
79,89,12
80,90,11
81,87,14
82,84,17
83,80,21
84,88,13
85,88,13
86,87,14
87,90,11
88,84,17
89,87,14
90,90,11
91,86,15
92,89,12
93,85,16
94,89,12
95,88,13
96,87,14
97,87,14
98,79,22
99,88,13
100,84,17
101,85,16
102,89,12
103,88,13
104,89,12
105,84,17
106,88,13
107,86,15
108,83,18
109,87,14
110,88,13
111,89,12
112,90,11
113,86,15
114,90,11
115,86,15
116,87,14
117,86,15
118,88,13
119,88,13
120,86,15
121,85,16
122,87,14
123,86,15
124,87,14
125,85,16
126,89,12
127,88,13
128,85,16
129,81,20
130,89,12
131,89,12
132,88,13
133,87,14
134,90,11
135,88,13
136,90,11
137,86,15
138,86,15
139,53,48
140,89,12
141,82,19
142,90,11
143,90,11
144,89,12
145,77,24
146,87,14
147,89,12
148,82,19
149,86,15
150,84,17
151,90,11
152,90,11
153,77,24
154,82,19
155,91,10
156,89,12
157,88,13
158,86,15
159,86,15
160,91,10
161,91,10
162,89,12
163,87,14
164,88,13
165,86,15
166,89,12
167,87,14
168,81,20
169,90,11
170,84,17
171,87,14
172,85,16
173,86,15
174,89,12
175,86,15
176,91,10
177,83,18
178,88,13
179,85,16
180,84,17
181,83,18
182,88,13
183,85,16
184,79,22
185,85,16
186,88,13
187,90,11
188,84,17
189,90,11
190,86,15
191,85,16
192,89,12
193,89,12
194,85,16
195,89,12
196,87,14
197,89,12
198,90,11
199,87,14
200,76,25
201,91,10
202,87,14
203,82,19
204,81,20
205,90,11
206,81,20
207,84,17
208,89,12
209,89,12
210,91,10
211,87,14
212,87,14
213,83,18
214,72,29
215,89,12
216,90,11
217,91,10
218,87,14
219,86,15
220,87,14
221,86,15
222,81,20
223,85,16
224,84,17
225,91,10
226,86,15
227,83,18
228,89,12
229,88,13
230,91,10
231,86,15
232,83,18
233,85,16
234,84,17
235,90,11
236,89,12
237,90,11
238,89,12
239,86,15
240,88,13
241,82,19
242,87,14
243,79,22
244,87,14
245,88,13
246,87,14
247,84,17
248,90,11
249,80,21
250,83,18
251,84,17
252,86,15
253,85,16
254,89,12
255,84,17
256,85,16
257,84,17
258,90,11
259,85,16
260,82,19
261,87,14
262,88,13
263,89,12
264,83,18
265,87,14
266,91,10
267,82,19
268,86,15
269,91,10
270,88,13
271,79,22
272,85,16
273,83,18
274,81,20
275,79,22
276,89,12
277,84,17
278,84,17
279,86,15
280,84,17
281,82,19
282,91,10
283,84,17
284,91,10
285,91,10
286,86,15
287,91,10
288,90,11
289,90,11
290,88,13
291,88,13
292,89,12
293,81,20
294,88,13
295,90,11
296,88,13
297,85,16
298,82,19
299,73,28
300,87,14
301,83,18
302,90,11
303,83,18
304,85,16
305,87,14
306,87,14
307,81,20
308,87,14
309,90,11
310,86,15
311,88,13
312,90,11
313,84,17
314,89,12
315,88,13
316,85,16
317,87,14
318,87,14
319,86,15
320,87,14
321,88,13
322,83,18
323,90,11
324,83,18
325,89,12
326,88,13
327,90,11
328,83,18
329,85,16
330,88,13
331,86,15
332,79,22
333,86,15
334,90,11
335,82,19
336,86,15
337,84,17
338,85,16
339,76,25
340,69,32
341,91,10
342,90,11
343,90,11
344,90,11
345,81,20
346,86,15
347,87,14
348,86,15
349,89,12
350,77,24
351,76,25
352,90,11
353,91,10
354,87,14
355,85,16
356,83,18
357,85,16
358,89,12
359,89,12
360,85,16
361,82,19
362,85,16
363,91,10
364,82,19
365,71,30
366,90,11
367,87,14
368,88,13
369,87,14
370,86,15
371,85,16
372,86,15
373,86,15
374,88,13
375,84,17
376,85,16
377,86,15
378,89,12
379,86,15
380,90,11
381,89,12
382,75,26
383,86,15
384,87,14
385,91,10
386,89,12
387,85,16
388,85,16
389,82,19
390,86,15
391,85,16
392,91,10
393,89,12
394,83,18
395,88,13
396,82,19
397,89,12
398,87,14
399,88,13
400,79,22
401,91,10
402,85,16
403,84,17
404,85,16
405,85,16
406,84,17
407,84,17
408,84,17
409,90,11
410,87,14
411,82,19
412,89,12
413,87,14
414,84,17
415,85,16
416,89,12
417,90,11
418,91,10
419,89,12
420,90,11
421,88,13
422,86,15
423,89,12
424,87,14
425,87,14
426,88,13
427,84,17
428,91,10
429,88,13
430,90,11
431,88,13
432,88,13
433,89,12
434,90,11
435,82,19
436,85,16
437,84,17
438,88,13
439,72,29
440,88,13
441,91,10
442,86,15
443,87,14
444,87,14
445,83,18
446,82,19
447,86,15
448,87,14
449,84,17
450,80,21
451,90,11
452,90,11
453,88,13
454,91,10
455,83,18
456,84,17
457,90,11
458,83,18
459,74,27
460,84,17
461,86,15
462,85,16
463,88,13
464,87,14
465,85,16
466,90,11
467,86,15
468,91,10
469,86,15
470,90,11
471,90,11
472,84,17
473,88,13
474,88,13
475,84,17
476,88,13
477,85,16
478,89,12
479,83,18
480,85,16
481,84,17
482,86,15
483,86,15
484,89,12
485,87,14
486,88,13
487,90,11
488,84,17
489,89,12
490,86,15
491,89,12
492,78,23
493,89,12
494,88,13
495,88,13
496,87,14
497,88,13
498,90,11
499,78,23
500,86,15
501,83,18
502,85,16
503,81,20
504,87,14
505,86,15
506,88,13
507,86,15
508,83,18
509,85,16
510,87,14
511,86,15
512,85,16
513,89,12
514,71,30
515,86,15
516,89,12
517,87,14
518,89,12
519,90,11
520,86,15
521,87,14
522,85,16
523,89,12
524,86,15
525,91,10
526,87,14
527,91,10
528,83,18
529,89,12
530,80,21
531,89,12
532,85,16
533,84,17
534,77,24
535,86,15
536,88,13
537,89,12
538,84,17
539,84,17
540,78,23
541,82,19
542,91,10
543,91,10
544,90,11
545,87,14
546,90,11
547,91,10
548,89,12
549,88,13
550,90,11
551,89,12
552,79,22
553,85,16
554,84,17
555,89,12
556,89,12
557,85,16
558,83,18
559,90,11
560,89,12
561,88,13
562,87,14
563,82,19
564,86,15
565,90,11
566,89,12
567,86,15
568,88,13
569,81,20
570,88,13
571,89,12
572,79,22
573,85,16
574,91,10
575,91,10
576,91,10
577,85,16
578,87,14
579,90,11
580,90,11
581,90,11
582,86,15
583,88,13
584,85,16
585,78,23
586,84,17
587,85,16
588,81,20
589,72,29
590,89,12
591,91,10
592,82,19
593,85,16
594,78,23
595,87,14
596,86,15
597,89,12
598,85,16
599,88,13
600,80,21
601,90,11
602,86,15
603,87,14
604,85,16
605,87,14
606,88,13
607,86,15
608,90,11
609,89,12
610,86,15
611,89,12
612,89,12
613,91,10
614,89,12
615,87,14
616,84,17
617,90,11
618,91,10
619,91,10
620,83,18
621,80,21
622,86,15
623,91,10
624,84,17
625,88,13
626,87,14
627,83,18
628,83,18
629,89,12
630,88,13
631,89,12
632,88,13
633,88,13
634,82,19
635,88,13
636,91,10
637,86,15
638,89,12
639,89,12
640,90,11
641,89,12
642,88,13
643,74,27
644,87,14
645,84,17
646,86,15
647,82,19
648,88,13
649,88,13
650,86,15
651,83,18
652,91,10
653,90,11
654,90,11
655,90,11
656,88,13
657,87,14
658,90,11
659,91,10
660,90,11
661,90,11
662,88,13
663,86,15
664,88,13
665,91,10
666,89,12
667,77,24
668,86,15
669,83,18
670,89,12
671,81,20
672,85,16
673,84,17
674,86,15
675,85,16
676,84,17
677,87,14
678,89,12
679,83,18
680,91,10
681,87,14
682,89,12
683,86,15
684,89,12
685,87,14
686,90,11
687,88,13
688,89,12
689,81,20
690,87,14
691,88,13
692,82,19
693,87,14
694,91,10
695,88,13
696,86,15
697,87,14
698,87,14
699,79,22
700,81,20
701,86,15
702,89,12
703,89,12
704,87,14
705,76,25
706,90,11
707,90,11
708,86,15
709,89,12
710,89,12
711,86,15
712,78,23
713,78,23
714,88,13
715,85,16
716,80,21
717,83,18
718,86,15
719,90,11
720,89,12
721,87,14
722,86,15
723,83,18
724,79,22
725,85,16
726,82,19
727,89,12
728,86,15
729,87,14
730,84,17
731,82,19
732,83,18
733,91,10
734,85,16
735,89,12
736,84,17
737,89,12
738,86,15
739,84,17
740,91,10
741,85,16
742,91,10
743,89,12
744,89,12
745,90,11
746,85,16
747,90,11
748,84,17
749,84,17
750,86,15
751,89,12
752,88,13
753,88,13
754,82,19
755,87,14
756,73,28
757,85,16
758,89,12
759,76,25
760,85,16
761,90,11
762,90,11
763,85,16
764,82,19
765,76,25
766,86,15
767,84,17
768,88,13
769,85,16
770,84,17
771,82,19
772,86,15
773,89,12
774,89,12
775,83,18
776,90,11
777,86,15
778,90,11
779,85,16
780,82,19
781,90,11
782,85,16
783,81,20
784,87,14
785,87,14
786,88,13
787,84,17
788,89,12
789,83,18
790,90,11
791,87,14
792,90,11
793,84,17
794,89,12
795,87,14
796,87,14
797,82,19
798,84,17
799,79,22
800,91,10
801,91,10
802,90,11
803,86,15
804,85,16
805,91,10
806,88,13
807,86,15
808,88,13
809,89,12
810,84,17
811,88,13
812,89,12
813,78,23
814,86,15
815,89,12
816,87,14
817,90,11
818,82,19
819,84,17
820,89,12
821,91,10
822,86,15
823,89,12
824,88,13
825,91,10
826,90,11
827,84,17
828,88,13
829,88,13
830,78,23
831,85,16
832,87,14
833,85,16
834,89,12
835,84,17
836,91,10
837,87,14
838,88,13
839,79,22
840,90,11
841,76,25
842,91,10
843,87,14
844,89,12
845,84,17
846,84,17
847,80,21
848,86,15
849,90,11
850,88,13
851,89,12
852,86,15
853,84,17
854,89,12
855,86,15
856,87,14
857,89,12
858,89,12
859,88,13
860,86,15
861,90,11
862,88,13
863,90,11
864,84,17
865,79,22
866,85,16
867,89,12
868,87,14
869,82,19
870,88,13
871,88,13
872,89,12
873,83,18
874,88,13
875,90,11
876,83,18
877,87,14
878,90,11
879,88,13
880,87,14
881,85,16
882,85,16
883,81,20
884,84,17
885,91,10
886,85,16
887,76,25
888,79,22
889,85,16
890,85,16
891,85,16
892,80,21
893,91,10
894,83,18
895,89,12
896,81,20
897,90,11
898,85,16
899,87,14
900,85,16
901,86,15
902,87,14
903,90,11
904,86,15
905,87,14
906,91,10
907,86,15
908,87,14
909,85,16
910,87,14
911,88,13
912,85,16
913,86,15
914,84,17
915,85,16
916,83,18
917,91,10
918,86,15
919,90,11
920,91,10
921,83,18
922,90,11
923,85,16
924,84,17
925,88,13
926,91,10
927,88,13
928,89,12
929,89,12
930,77,24
931,85,16
932,86,15
933,89,12
934,82,19
935,88,13
936,87,14
937,88,13
